timestamp,memory_used_mb,memory_total_mb,gpu_utilization_percent,temperature_c,power_w
2026/09/14 19:17:02.890,1115.0,6141.0,29.0,50.0,26.43
2026/09/14 19:17:07.960,1127.0,6141.0,30.0,50.0,26.75
2026/09/14 19:17:13.023,1118.0,6141.0,30.0,50.0,25.03
2026/09/14 19:17:18.095,1116.0,6141.0,25.0,50.0,25.36
2026/09/14 19:17:23.165,1111.0,6141.0,21.0,50.0,23.97
2026/09/14 19:17:28.225,1137.0,6141.0,20.0,50.0,23.72
2026/09/14 19:17:33.283,1161.0,6141.0,25.0,51.0,20.43
2026/09/14 19:17:38.387,1233.0,6141.0,24.0,51.0,25.53
2026/09/14 19:17:43.471,1217.0,6141.0,22.0,51.0,24.73
2026/09/14 19:17:48.530,1180.0,6141.0,19.0,51.0,25.22
2026/09/14 19:17:53.587,1162.0,6141.0,23.0,52.0,26.42
2026/09/14 19:17:58.650,1162.0,6141.0,27.0,51.0,26.14
2026/09/14 19:18:03.826,1156.0,6141.0,26.0,50.0,20.17
2026/09/14 19:18:08.920,1180.0,6141.0,25.0,50.0,23.23
2026/09/14 19:18:13.979,1170.0,6141.0,20.0,51.0,24.38
2026/09/14 19:18:19.036,1198.0,6141.0,24.0,51.0,25.9
2026/09/14 19:18:24.091,1188.0,6141.0,26.0,50.0,26.02
2026/09/14 19:18:29.161,1195.0,6141.0,21.0,51.0,28.03
2026/09/14 19:18:34.219,1401.0,6141.0,37.0,51.0,25.48
2026/09/14 19:18:39.289,1400.0,6141.0,29.0,51.0,27.18
2026/09/14 19:18:44.374,1375.0,6141.0,30.0,51.0,27.78
2026/09/14 19:18:49.442,1365.0,6141.0,34.0,51.0,25.6
2026/09/14 19:18:54.511,1480.0,6141.0,39.0,50.0,28.98
2026/09/14 19:18:59.579,1377.0,6141.0,29.0,50.0,27.08
2026/09/14 19:19:04.664,1325.0,6141.0,43.0,51.0,31.36
2026/09/14 19:19:09.751,1277.0,6141.0,32.0,51.0,26.13
2026/09/14 19:19:14.822,1282.0,6141.0,26.0,50.0,25.83
2026/09/14 19:19:19.901,1290.0,6141.0,27.0,51.0,25.4
2026/09/14 19:19:24.971,1290.0,6141.0,25.0,51.0,25.21
2026/09/14 19:19:30.032,1344.0,6141.0,29.0,51.0,26.05
2026/09/14 19:19:35.113,1295.0,6141.0,34.0,50.0,26.14
2026/09/14 19:19:40.178,1321.0,6141.0,17.0,50.0,25.99
2026/09/14 19:19:45.247,1291.0,6141.0,28.0,49.0,25.99
2026/09/14 19:19:50.303,1326.0,6141.0,34.0,49.0,26.08
2026/09/14 19:19:55.372,1292.0,6141.0,30.0,49.0,25.6
2026/09/14 19:20:00.437,1287.0,6141.0,33.0,49.0,25.83
2026/09/14 19:20:05.520,1311.0,6141.0,29.0,49.0,25.57
2026/09/14 19:20:10.599,1322.0,6141.0,32.0,49.0,25.79
2026/09/14 19:20:15.674,1363.0,6141.0,16.0,49.0,25.23
2026/09/14 19:20:20.735,1244.0,6141.0,21.0,48.0,23.94
2026/09/14 19:20:25.820,1239.0,6141.0,13.0,48.0,20.42
2026/09/14 19:20:30.878,1239.0,6141.0,10.0,49.0,24.14
2026/09/14 19:20:35.957,1239.0,6141.0,22.0,49.0,26.19
2026/09/14 19:20:41.077,1239.0,6141.0,16.0,49.0,24.87
2026/09/14 19:20:46.240,1239.0,6141.0,24.0,49.0,25.2
2026/09/14 19:20:51.342,1293.0,6141.0,31.0,49.0,25.84
2026/09/14 19:20:56.416,1246.0,6141.0,27.0,50.0,26.11
2026/09/14 19:21:01.506,1246.0,6141.0,11.0,48.0,19.89
2026/09/14 19:21:06.603,1261.0,6141.0,32.0,49.0,26.18
2026/09/14 19:21:11.743,1260.0,6141.0,15.0,49.0,20.15
2026/09/14 19:21:16.833,1257.0,6141.0,23.0,49.0,27.44
2026/09/14 19:21:21.915,1258.0,6141.0,24.0,49.0,23.69
2026/09/14 19:21:26.982,1247.0,6141.0,25.0,49.0,25.31
2026/09/14 19:21:32.040,1247.0,6141.0,24.0,49.0,25.25
2026/09/14 19:21:37.108,1247.0,6141.0,24.0,50.0,22.77
2026/09/14 19:21:42.167,1247.0,6141.0,29.0,49.0,26.89
2026/09/14 19:21:47.247,1265.0,6141.0,34.0,50.0,26.4
2026/09/14 19:21:52.324,1266.0,6141.0,29.0,51.0,20.83
2026/09/14 19:21:57.395,1274.0,6141.0,31.0,51.0,28.41
2026/09/14 19:22:02.456,1254.0,6141.0,24.0,51.0,27.32
2026/09/14 19:22:07.525,1249.0,6141.0,31.0,51.0,31.41
2026/09/14 19:22:12.622,1286.0,6141.0,31.0,52.0,25.43
2026/09/14 19:22:17.695,1273.0,6141.0,30.0,52.0,24.79
2026/09/14 19:22:22.780,1335.0,6141.0,32.0,51.0,25.51
2026/09/14 19:22:27.859,1295.0,6141.0,30.0,52.0,25.77
2026/09/14 19:22:32.923,1281.0,6141.0,18.0,51.0,25.39
2026/09/14 19:22:38.056,1274.0,6141.0,34.0,51.0,25.94
2026/09/14 19:22:43.121,1264.0,6141.0,28.0,50.0,25.26
2026/09/14 19:22:48.187,1272.0,6141.0,24.0,50.0,25.23
2026/09/14 19:22:53.252,1264.0,6141.0,18.0,50.0,22.41
2026/09/14 19:22:58.325,1273.0,6141.0,36.0,49.0,25.98
2026/09/14 19:23:03.413,1265.0,6141.0,24.0,49.0,24.73
2026/09/14 19:23:08.481,1271.0,6141.0,34.0,48.0,25.74
2026/09/14 19:23:13.561,1341.0,6141.0,31.0,48.0,25.4
2026/09/14 19:23:18.710,1298.0,6141.0,25.0,49.0,21.53
2026/09/14 19:23:23.867,1271.0,6141.0,28.0,48.0,23.61
2026/09/14 19:23:29.018,1262.0,6141.0,27.0,48.0,28.23
2026/09/14 19:23:34.139,1219.0,6141.0,13.0,47.0,21.54
2026/09/14 19:23:39.201,1217.0,6141.0,31.0,47.0,26.12
2026/09/14 19:23:44.267,1217.0,6141.0,31.0,48.0,25.06
2026/09/14 19:23:49.326,1217.0,6141.0,22.0,49.0,24.34
2026/09/14 19:23:54.382,1217.0,6141.0,21.0,49.0,22.66
2026/09/14 19:23:59.452,1217.0,6141.0,24.0,49.0,25.78
2026/09/14 19:24:04.514,1217.0,6141.0,24.0,49.0,24.6
2026/09/14 19:24:09.575,1217.0,6141.0,28.0,49.0,26.83
2026/09/14 19:24:14.652,1222.0,6141.0,22.0,49.0,26.13
2026/09/14 19:24:19.709,1234.0,6141.0,18.0,50.0,24.31
2026/09/14 19:24:24.774,1242.0,6141.0,35.0,50.0,25.58
2026/09/14 19:24:29.860,1237.0,6141.0,27.0,50.0,25.31
2026/09/14 19:24:34.919,1236.0,6141.0,27.0,51.0,25.01
2026/09/14 19:24:39.986,1246.0,6141.0,26.0,51.0,25.24
2026/09/14 19:24:45.059,1236.0,6141.0,34.0,51.0,25.62
2026/09/14 19:24:50.140,1236.0,6141.0,21.0,50.0,25.48
2026/09/14 19:24:55.217,1236.0,6141.0,27.0,50.0,25.26
2026/09/14 19:25:00.303,1236.0,6141.0,30.0,50.0,25.13
2026/09/14 19:25:05.382,1237.0,6141.0,29.0,49.0,24.59
2026/09/14 19:25:10.469,1245.0,6141.0,28.0,49.0,25.03
2026/09/14 19:25:15.526,1261.0,6141.0,22.0,49.0,25.07
2026/09/14 19:25:20.606,1308.0,6141.0,26.0,49.0,25.09
2026/09/14 19:25:25.670,1260.0,6141.0,26.0,48.0,25.46
2026/09/14 19:25:30.769,1254.0,6141.0,22.0,48.0,25.65
2026/09/14 19:25:35.829,1261.0,6141.0,29.0,47.0,24.64
2026/09/14 19:25:40.897,1245.0,6141.0,20.0,48.0,23.92
2026/09/14 19:25:45.966,1241.0,6141.0,23.0,47.0,25.32
2026/09/14 19:25:51.032,1258.0,6141.0,18.0,46.0,23.99
2026/09/14 19:25:56.156,1250.0,6141.0,11.0,46.0,20.0
2026/09/14 19:26:01.310,1241.0,6141.0,25.0,47.0,23.12
2026/09/14 19:26:06.700,1241.0,6141.0,4.0,47.0,18.47
2026/09/14 19:26:11.878,1241.0,6141.0,18.0,47.0,24.23
2026/09/14 19:26:17.107,1252.0,6141.0,22.0,48.0,25.69
2026/09/14 19:26:22.290,1259.0,6141.0,25.0,48.0,23.69
2026/09/14 19:26:27.428,1238.0,6141.0,24.0,49.0,25.85
2026/09/14 19:26:32.697,1268.0,6141.0,23.0,49.0,24.13
2026/09/14 19:26:37.868,1307.0,6141.0,25.0,50.0,25.47
2026/09/14 19:26:42.963,1265.0,6141.0,34.0,50.0,25.84
2026/09/14 19:26:48.051,1248.0,6141.0,23.0,51.0,23.87
2026/09/14 19:26:53.178,1221.0,6141.0,15.0,50.0,23.8
2026/09/14 19:26:58.495,1238.0,6141.0,11.0,49.0,24.51
2026/09/14 19:27:03.640,1249.0,6141.0,29.0,50.0,24.24
2026/09/14 19:27:08.751,1248.0,6141.0,21.0,50.0,24.47
2026/09/14 19:27:13.852,1488.0,6141.0,21.0,50.0,23.75
2026/09/14 19:27:18.960,1273.0,6141.0,34.0,49.0,25.27
2026/09/14 19:27:24.092,1235.0,6141.0,29.0,49.0,25.24
2026/09/14 19:27:29.169,1235.0,6141.0,32.0,49.0,24.92
2026/09/14 19:27:34.249,1235.0,6141.0,39.0,48.0,26.16
2026/09/14 19:27:39.326,1228.0,6141.0,19.0,48.0,23.9
2026/09/14 19:27:44.413,1226.0,6141.0,27.0,48.0,26.0
2026/09/14 19:27:49.504,1225.0,6141.0,21.0,47.0,24.34
2026/09/14 19:27:54.571,1225.0,6141.0,24.0,48.0,26.74
2026/09/14 19:27:59.654,1234.0,6141.0,26.0,48.0,25.34
2026/09/14 19:28:04.851,1215.0,6141.0,26.0,49.0,23.04
2026/09/14 19:28:09.927,1215.0,6141.0,24.0,48.0,23.99
2026/09/14 19:28:14.985,1215.0,6141.0,28.0,49.0,28.32
2026/09/14 19:28:20.051,1215.0,6141.0,26.0,49.0,23.1
2026/09/14 19:28:25.121,1235.0,6141.0,36.0,50.0,25.32
2026/09/14 19:28:30.198,1228.0,6141.0,27.0,49.0,24.17
2026/09/14 19:28:35.332,1198.0,6141.0,15.0,49.0,20.42
2026/09/14 19:28:40.411,1215.0,6141.0,28.0,50.0,25.16
2026/09/14 19:28:45.477,1203.0,6141.0,30.0,50.0,25.15
2026/09/14 19:28:50.565,1204.0,6141.0,28.0,50.0,25.25
2026/09/14 19:28:55.646,1233.0,6141.0,30.0,51.0,25.08
2026/09/14 19:29:00.713,1432.0,6141.0,30.0,51.0,27.15
2026/09/14 19:29:05.782,1285.0,6141.0,23.0,51.0,25.38
2026/09/14 19:29:10.840,1214.0,6141.0,22.0,51.0,24.71
2026/09/14 19:29:15.906,1211.0,6141.0,30.0,51.0,25.55
2026/09/14 19:29:20.978,1207.0,6141.0,31.0,51.0,25.6
2026/09/14 19:29:26.078,1207.0,6141.0,37.0,51.0,27.0
2026/09/14 19:29:31.135,1200.0,6141.0,27.0,50.0,28.17
